Node ID,tx,ty,tz,qx,qy,qz,qw
7,0,0,0,0,0,0,1
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,-0.3340030000,0.2392520000,0.8294210000,-0.0369340000,0.0083313600,0.9972290000,-0.0640365000
24,-0.3331620000,0.2390100000,0.8308620000,-0.0365506000,0.0086697400,0.9972210000,-0.0643348000
25,-0.3320620000,0.2389010000,0.8317680000,-0.0358864000,0.0076537900,0.9972650000,-0.0641615000
26,-0.3315750000,0.2387770000,0.8320790000,-0.0371554000,0.0093077900,0.9971860000,-0.0644462000
27,-0.3328620000,0.2381830000,0.8324890000,-0.0358777000,0.0102480000,0.9972260000,-0.0644118000
28,-0.3365430000,0.2372430000,0.8355520000,-0.0367551000,0.0097326400,0.9971090000,-0.0657870000
29,-0.3393710000,0.2352970000,0.8345740000,-0.0373979000,0.0100436000,0.9970470000,-0.0663149000
30,-0.3453380000,0.2341300000,0.8373990000,-0.0439010000,0.0092877900,0.9967120000,-0.0674615000
31,-0.3518390000,0.2328120000,0.8394140000,-0.0485735000,0.0084035600,0.9964480000,-0.0682768000
32,-0.3597420000,0.2316410000,0.8436490000,-0.0550367000,0.0097557000,0.9959950000,-0.0697883000
33,-0.3670740000,0.2298440000,0.8462100000,-0.0551818000,0.0076518800,0.9958260000,-0.0722926000
34,-0.3764830000,0.2281790000,0.8490300000,-0.0563335000,0.0107606000,0.9955600000,-0.0746452000
35,-0.3868730000,0.2265760000,0.8513750000,-0.0567131000,0.0105819000,0.9953730000,-0.0768357000
36,-0.3969690000,0.2245800000,0.8520050000,-0.0585762000,0.0156265000,0.9953050000,-0.0754464000
37,-0.4069860000,0.2232570000,0.8509280000,-0.0575841000,0.0147137000,0.9953500000,-0.0757960000
38,-0.4173670000,0.2229980000,0.8489750000,-0.0573617000,0.0136030000,0.9952890000,-0.0769637000
39,-0.4295820000,0.2236530000,0.8486340000,-0.0561950000,0.0104887000,0.9953270000,-0.0778234000
40,-0.4420590000,0.2241530000,0.8483070000,-0.0560562000,0.0090347600,0.9953240000,-0.0781401000
41,-0.4552090000,0.2235990000,0.8476090000,-0.0482593000,0.0073459100,0.9958550000,-0.0767493000
42,-0.4688670000,0.2223110000,0.8464620000,-0.0453874000,0.0143723000,0.9959940000,-0.0756900000
43,-0.4835780000,0.2209240000,0.8476770000,-0.0421995000,0.0142589000,0.9960290000,-0.0770874000
44,-0.4939550000,0.2186590000,0.8416380000,-0.0343301000,0.0133914000,0.9963150000,-0.0774544000
45,-0.5059770000,0.2158870000,0.8388840000,-0.0300586000,0.0111752000,0.9963390000,-0.0792494000
46,-0.5179700000,0.2127600000,0.8370070000,-0.0261778000,0.0113564000,0.9963930000,-0.0799159000
47,-0.5284490000,0.2101840000,0.8343830000,-0.0241389000,0.0107648000,0.9963770000,-0.0808302000
48,-0.5381970000,0.2086240000,0.8338590000,-0.0217497000,0.0060476800,0.9967040000,-0.0779194000
49,-0.5457330000,0.2077930000,0.8288830000,-0.0195664000,0.0059232300,0.9970080000,-0.0745420000
50,-0.5576060000,0.2087200000,0.8287500000,-0.0249618000,0.0087081600,0.9969390000,-0.0735800000
51,-0.5676760000,0.2099780000,0.8275720000,-0.0281151000,0.0086555300,0.9970760000,-0.0705208000
52,-0.5823080000,0.2125610000,0.8285800000,-0.0403276000,0.0091528700,0.9962940000,-0.0754137000
53,-0.5863730000,0.2132410000,0.8161780000,-0.0321010000,0.0123740000,0.9966270000,-0.0745113000
54,-0.6048720000,0.2161500000,0.8238600000,-0.0398268000,0.0094272900,0.9959290000,-0.0803099000
55,-0.6132550000,0.2199220000,0.8220170000,-0.0376815000,0.0035571500,0.9962170000,-0.0782244000
56,-0.6244410000,0.2255360000,0.8193700000,-0.0432448000,0.0050799700,0.9959000000,-0.0792963000
57,-0.6476530000,0.2319670000,0.8300840000,-0.0626406000,0.0228351000,0.9950450000,-0.0737605000
58,-0.6607560000,0.2406540000,0.8343370000,-0.0643305000,0.0108817000,0.9947910000,-0.0783165000
59,-0.6597470000,0.2488340000,0.8158870000,-0.0594750000,0.0261709000,0.9949230000,-0.0768565000
60,-0.6740810000,0.2581310000,0.8244400000,-0.0631580000,0.0211415000,0.9947490000,-0.0777066000
61,-0.6752790000,0.2665380000,0.8161330000,-0.0588136000,0.0291572000,0.9950760000,-0.0742591000
62,-0.6759700000,0.2732080000,0.8117770000,-0.0419238000,0.0326188000,0.9963910000,-0.0662072000
63,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
64,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
65,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
66,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
67,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
68,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
69,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
70,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
71,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
72,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
73,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
74,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
75,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
76,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
77,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
78,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
79,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
80,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
81,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
82,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
83,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
84,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
85,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
86,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
87,-0.6791260000,0.2809990000,0.8124840000,-0.0421600000,0.0319935000,0.9963710000,-0.0666609000
