Node ID,tx,ty,tz,qx,qy,qz,qw
7,0,0,0,0,0,0,1
8,-0.2,0,0,0,0,0,1
9,-0.4,0,0,0,0,0,1
10,-0.6,0,0.1,0,0.4,0,0.9
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,-0.334003,0.239252,0.829421,-0.036934,0.00833136,0.997229,-0.0640365
24,-0.333162,0.23901,0.830862,-0.0365506,0.00866974,0.997221,-0.0643348
25,-0.332062,0.238901,0.831768,-0.0358864,0.00765379,0.997265,-0.0641615
26,-0.331575,0.238777,0.832079,-0.0371554,0.00930779,0.997186,-0.0644462
27,-0.332862,0.238183,0.832489,-0.0358777,0.010248,0.997226,-0.0644118
28,-0.336543,0.237243,0.835552,-0.0367551,0.00973264,0.997109,-0.065787
29,-0.339371,0.235297,0.834574,-0.0373979,0.0100436,0.997047,-0.0663149
30,-0.345338,0.23413,0.837399,-0.043901,0.00928779,0.996712,-0.0674615
31,-0.351839,0.232812,0.839414,-0.0485735,0.00840356,0.996448,-0.0682768
32,-0.359742,0.231641,0.843649,-0.0550367,0.0097557,0.995995,-0.0697883
33,-0.367074,0.229844,0.84621,-0.0551818,0.00765188,0.995826,-0.0722926
34,-0.376483,0.228179,0.84903,-0.0563335,0.0107606,0.99556,-0.0746452
35,-0.386873,0.226576,0.851375,-0.0567131,0.0105819,0.995373,-0.0768357
36,-0.396969,0.22458,0.852005,-0.0585762,0.0156265,0.995305,-0.0754464
37,-0.406986,0.223257,0.850928,-0.0575841,0.0147137,0.99535,-0.075796
38,-0.417367,0.222998,0.848975,-0.0573617,0.013603,0.995289,-0.0769637
39,-0.429582,0.223653,0.848634,-0.056195,0.0104887,0.995327,-0.0778234
40,-0.442059,0.224153,0.848307,-0.0560562,0.00903476,0.995324,-0.0781401
41,-0.455209,0.223599,0.847609,-0.0482593,0.00734591,0.995855,-0.0767493
42,-0.468867,0.222311,0.846462,-0.0453874,0.0143723,0.995994,-0.07569
43,-0.483578,0.220924,0.847677,-0.0421995,0.0142589,0.996029,-0.0770874
44,-0.493955,0.218659,0.841638,-0.0343301,0.0133914,0.996315,-0.0774544
45,-0.505977,0.215887,0.838884,-0.0300586,0.0111752,0.996339,-0.0792494
46,-0.51797,0.21276,0.837007,-0.0261778,0.0113564,0.996393,-0.0799159
47,-0.528449,0.210184,0.834383,-0.0241389,0.0107648,0.996377,-0.0808302
48,-0.538197,0.208624,0.833859,-0.0217497,0.00604768,0.996704,-0.0779194
49,-0.545733,0.207793,0.828883,-0.0195664,0.00592323,0.997008,-0.074542
50,-0.557606,0.20872,0.82875,-0.0249618,0.00870816,0.996939,-0.07358
51,-0.567676,0.209978,0.827572,-0.0281151,0.00865553,0.997076,-0.0705208
52,-0.582308,0.212561,0.82858,-0.0403276,0.00915287,0.996294,-0.0754137
53,-0.586373,0.213241,0.816178,-0.032101,0.012374,0.996627,-0.0745113
54,-0.604872,0.21615,0.82386,-0.0398268,0.00942729,0.995929,-0.0803099
55,-0.613255,0.219922,0.822017,-0.0376815,0.00355715,0.996217,-0.0782244
